Metric,Strategy A (Model I),Strategy C (Model II),Winner
Total Return,0.0643,0.1186,C ✅
Annualized Return,3.05%,5.56%,C ✅
Annualized Volatility,4.28%,8.32%,A ✅
Sharpe Ratio,0.2467,0.4281,C ✅
Max Drawdown,nan,nan,A ✅
Win Rate (%),nan,nan,A ✅
Profit Factor,nan,nan,A ✅
Information Coefficient,─,0.080603,Model II
Information Ratio,0.2467,0.3107,Model II
Breadth (avg positions),8.77,8.77,─
